Date Collected,State ,County,City,Facility Name,State Facility Type,CTP Facility Categorization,State/Fed Regulated,State Facility ID,CMS Facility ID,Date outbreak opened,Date outreak closed,Outbreak Status,Resident Census,Resident Positives,Resident Probable Positives,Resident Deaths,Resident Probable Deaths,Staff Positive,Staff Probable Positives,Staff Deaths,Staff Probable Deaths,Resident/Staff Positives,Resident/Staff Probable Positives,Resident/Staff Deaths,Resident/Staff Probable Deaths,Resident Positives,Resident Probable Positives,Resident Deaths,Resident Probable Deaths,Staff Positive,Staff Probable Positives,Staff Deaths,Staff Probable Deaths,Resident/Staff Positives,Resident/Staff Probable Positives,Resident/Staff Deaths,Resident/Staff Probable Deaths,Residents Tested,Staff Tested,Personal Protective Equipment,last_recorded
20200521,AR,,,Ozark Health N&R,Uncategorized LTCF,Nursing Home,Federal,,45414,,,,,0,,0,,1,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,Legacy Heights N&R,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,1,,0,,1,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,Conway Healthcare & Rehab,Uncategorized LTCF,Nursing Home,Federal,,45245,,,,,0,,0,,1,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,Salem Place N&R,Uncategorized LTCF,Nursing Home,Federal,,45183,,,,,1,,0,,5,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,CCC-Jonesboro,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,0,,0,,5,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,CCC-Batesville,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,2,,0,,1,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,Allay Health N&R,Uncategorized LTCF,Nursing Home,Federal,,45288,,,,,5,,1,,5,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,The Greenhouse Cottages of Belle Meade,Uncategorized LTCF,Nursing Home,Federal,,45170,,,,,0,,0,,2,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,Meadowview H&R,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,Parkway Heights Village,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,1,,0,,1,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,Encore Healthcare & Rehab-WLR,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,1,,0,,1,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,West Memphis H&R,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,5,,0,,4,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,Encompass Rehab/LTC,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,0,,0,,2,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,Indian Rock Village,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,Springs of Mine Creek,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,1,,0,,1,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,Rector N&R,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,2,,0,,0,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,Randolph Co Nursing Home,Uncategorized LTCF,Nursing Home,Federal,,45443,,,,,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,Crestpark Of Wynne,Uncategorized LTCF,Nursing Home,Federal,,45166,,,,,1,,0,,1,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,The Village at Valley Ranch,Uncategorized LTCF,Nursing Home,Federal,,45431,,,,,4,,1,,5,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,Rogers Health & Rehab,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,Harris Healthcare,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,17,,1,,5,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,"Greenhouse Cottages of Poplar
Grove",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,2,,0,,4,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,"Summit Health &
Rehab",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,8,,2,,5,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,"Southfork River
Therapy & Living",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,Belle View Estates,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,Brookstone Assisted Living Community-ALF,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,3,,3,,1,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,"Ash Flat Healthcare
& Rehab",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,32,,2,,13,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,Gardner N&R,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,"Crestpark of Forrest
City",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,1,,0,,1,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,McGehee H&R,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,"Spring Creek Health
& Rehab",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,2,,0,,0,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,"CCC-W.
Memphis/Broadway
Health & Rehab",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,Twin Rivers Health & Rehab,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,"The Pines Nursing &
Rehab Center",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,"Robinson Health &
Rehab",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,"Courtyard
Healthcare & Rehab",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,15,,0,,9,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,"Amberwood Health
& Rehab",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,"West Memphis
Residential Inc.",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,"Craighead Nursing
Center",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,"Hospice Home Care
Center",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,"Silver Oaks Health &
Rehab",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,Presbyterian Village,Uncategorized LTCF,Nursing Home,Federal,,45436,,,,,0,,0,,1,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,"Village on the Park -
Rogers",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,1,,0,,1,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,"Midtown Post-
Acute Care &
Rehabilitation",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,2,,0,,1,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,Greene Acres Easy living,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,"VA NLR Nursing
Home",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,"The Maples at Her-
Ber Meadows",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,20200521
20200528,AR,,,"Briarwood Nursing
Center",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,43,,5,,17,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,Villages of General Baptist-West,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,2,,1,,2,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,The Lakes of Maumelle H&R,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,41,,10,,11,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,Apple Creek H&R,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,Springhouse Village-,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,Waters of White Hall,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,45,,15,,34,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,Greene Acres NH,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,2,,0,,0,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,Newton Co NH,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,0,,0,,2,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,Walnut Ridge N&R,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,54,,4,,25,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,Willow Bend Healthcare & Rehab,Uncategorized LTCF,Nursing Home,Federal,,45412,,,,,30,,4,,19,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,Ozark Health N&R,Uncategorized LTCF,Nursing Home,Federal,,45414,,,,,0,,0,,1,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,Legacy Heights N&R,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,1,,0,,1,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,Conway Healthcare & Rehab,Uncategorized LTCF,Nursing Home,Federal,,45245,,,,,0,,0,,1,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,Salem Place N&R,Uncategorized LTCF,Nursing Home,Federal,,45183,,,,,1,,0,,5,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,CCC-Jonesboro,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,0,,0,,5,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,CCC-Batesville,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,2,,0,,1,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,Allay Health N&R,Uncategorized LTCF,Nursing Home,Federal,,45288,,,,,5,,2,,5,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,"The Greenhouse
Cottages of Belle
Meade",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,0,,0,,2,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,Meadowview H&R,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,"Parkway Heights
Village",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,1,,0,,1,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,"Encore Healthcare
& Rehab-WLR",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,1,,0,,1,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,West Memphis H&R,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,5,,0,,4,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,"Encompass
Rehab/LTC",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,0,,0,,2,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,Indian Rock Village,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,Springs of Mine Creek,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,1,,0,,1,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,Rector N&R,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,2,,0,,0,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,"Randolph Co
Nursing Home",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,Crestpark Of Wynne,Uncategorized LTCF,Nursing Home,Federal,,45166,,,,,1,,0,,1,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,"The Village at Valley
Ranch",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,4,,1,,5,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,"Rogers Health &
Rehab",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,Harris Healthcare,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,17,,1,,5,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,"Greenhouse
Cottages of Poplar
Grove",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,2,,0,,4,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,Summit Health & Rehab,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,8,,2,,5,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,Southfork River Therapy & Living,Uncategorized LTCF,Nursing Home,Federal,,45248,,,,,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,Belle View Estates,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,"Brookstone Assisted
Living Community",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,3,,3,,1,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,Ash Flat Healthcare & Rehab,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,37,,2,,18,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,Gardner N&R,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,"Crestpark of Forrest
City",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,1,,0,,1,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,McGehee H&R,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,"Spring Creek Health
& Rehab",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,2,,0,,0,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,"The Springs on Broadway (CCC-W.
Memphis/Broadway
H&R)",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,1,,0,,3,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,"Twin Rivers Health
& Rehab",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,"The Pines Nursing &
Rehab Center",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,"Robinson Health &
Rehab",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,"Courtyard
Healthcare & Rehab",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,35,,,,19,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,"Amberwood Health
& Rehab",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,"West Memphis
Residential Inc.",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,"Craighead Nursing
Center",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,"Hospice Home Care
Center",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,"Silver Oaks Health &
Rehab",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,Presbyterian Village,Uncategorized LTCF,Nursing Home,Federal,,45436,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,"Village on the Park -
Rogers",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,"Midtown Post-
Acute Care &
Rehabilitation",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,"Greene Acres Easy
Living",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,VA NLR Nursing Home,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,"The Maples at Her-
Ber Meadows",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,"Morningside of
Springdale",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,"Woodland Hills H&R
Center",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,"North Hills Lifecare
& Rehab",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,"Katherine’s Place at
Wedington",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,"Ozark Nursing
Home",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,2,,,,0,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,"Edgewood Health &
Rehab-Springdale",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,"Elmcroft Assisted
Living-Maumelle",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,"Gardens of Osage
Terrace-Maumelle",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,"Shiloh Nursing &
Rehab",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,"Jamestown Nursing
& Rehab",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,"Windcrest Health &
Rehab",Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,The Waters of Rogers,Uncategorized LTCF,Nursing Home,Federal,,45212,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,20200528
20200528,AR,,,Briarwood Nursing Center,Uncategorized LTCF,Nursing Home,Federal,,45387,,,Closed,,43,,5,,17,,,,,,,,,,,,,,,,,,,,,,,20200521
20200528,AR,,,The Greenhouse Cottages of Belle Meade,Uncategorized LTCF,Nursing Home,Federal,,45170,,,Closed,,0,,0,,2,,,,,,,,,,,,,,,,,,,,,,,20200521
20200528,AR,,,Parkway Heights Village,Uncategorized LTCF,Uncategorized LTCF,State,,,,,Closed,,1,,0,,1,,,,,,,,,,,,,,,,,,,,,,,20200521
20200528,AR,,,Encore Healthcare & Rehab-WLR,Uncategorized LTCF,Uncategorized LTCF,State,,,,,Closed,,1,,0,,1,,,,,,,,,,,,,,,,,,,,,,,20200521
20200528,AR,,,Encompass Rehab/LTC,Uncategorized LTCF,Uncategorized LTCF,State,,,,,Closed,,0,,0,,2,,,,,,,,,,,,,,,,,,,,,,,20200521
20200528,AR,,,Randolph Co Nursing Home,Uncategorized LTCF,Nursing Home,Federal,,45443,,,Closed,,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,20200521
20200528,AR,,,The Village at Valley Ranch,Uncategorized LTCF,Nursing Home,Federal,,45431,,,Closed,,4,,1,,5,,,,,,,,,,,,,,,,,,,,,,,20200521
20200528,AR,,,Rogers Health & Rehab,Uncategorized LTCF,Uncategorized LTCF,State,,,,,Closed,,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,20200521
20200528,AR,,,"Greenhouse Cottages of Poplar
Grove",Uncategorized LTCF,Uncategorized LTCF,State,,,,,Closed,,2,,0,,4,,,,,,,,,,,,,,,,,,,,,,,20200521
20200528,AR,,,"Summit Health &
Rehab",Uncategorized LTCF,Uncategorized LTCF,State,,,,,Closed,,8,,2,,5,,,,,,,,,,,,,,,,,,,,,,,20200521
20200528,AR,,,"Southfork River
Therapy & Living",Uncategorized LTCF,Uncategorized LTCF,State,,,,,Closed,,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,20200521
20200528,AR,,,Brookstone Assisted Living Community-ALF,Uncategorized LTCF,Uncategorized LTCF,State,,,,,Closed,,3,,3,,1,,,,,,,,,,,,,,,,,,,,,,,20200521
20200528,AR,,,"Ash Flat Healthcare
& Rehab",Uncategorized LTCF,Uncategorized LTCF,State,,,,,Closed,,32,,2,,13,,,,,,,,,,,,,,,,,,,,,,,20200521
20200528,AR,,,"CCC-W.
Memphis/Broadway
Health & Rehab",Uncategorized LTCF,Uncategorized LTCF,State,,,,,Closed,,0,,0,,1,,,,,,,,,,,,,,,,,,,,,,,20200521
20200528,AR,,,Twin Rivers Health & Rehab,Uncategorized LTCF,Uncategorized LTCF,State,,,,,Closed,,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,20200521
20200528,AR,,,Greene Acres Easy living,Uncategorized LTCF,Uncategorized LTCF,State,,,,,Closed,,0,,0,,1,,,,,,,,,,,,,,,,,,,,,,,20200521
20200528,AR,,,"VA NLR Nursing
Home",Uncategorized LTCF,Uncategorized LTCF,State,,,,,Closed,,0,,0,,1,,,,,,,,,,,,,,,,,,,,,,,20200521
20200604,AR,,,Briarwood Nursing Center,Uncategorized LTCF,Nursing Home,Federal,,45387,,,,,43,,5,,17,,,,,,,,,,,,,,,,,,,,,,,20200604
20200604,AR,,,Villages of General Baptist-West,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,2,,1,,3,,,,,,,,,,,,,,,,,,,,,,,20200604
20200604,AR,,,The Lakes of Maumelle H&R,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,41,,12,,11,,,,,,,,,,,,,,,,,,,,,,,20200604
20200604,AR,,,Apple Creek H&R,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,20200604
20200604,AR,,,Springhouse Village,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,20200604
20200604,AR,,,Waters of White Hall,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,45,,15,,35,,,,,,,,,,,,,,,,,,,,,,,20200604
20200604,AR,,,Greene Acres NH,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,2,,0,,0,,,,,,,,,,,,,,,,,,,,,,,20200604
20200604,AR,,,Newton Co NH,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,0,,0,,2,,,,,,,,,,,,,,,,,,,,,,,20200604
20200604,AR,,,Walnut Ridge N&R,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,55,,7,,25,,,,,,,,,,,,,,,,,,,,,,,20200604
